1,Afghanistan,8.751006069646108
2,Albania,0.3936792017243475
3,Algeria,14.68462196000974
4,Andorra,0.14014517623459455
5,Angola,0.10258491395788966
6,Antigua and Barbuda,0.007409428322179796
7,Argentina,14.879395308500502
8,Armenia,2.7061555071793135
9,Australia,0.3314950138515185
10,Austria,2.7553093590713984
11,Azerbaijan,1.4055392315410413
12,Bahamas,0.10343761913169977
13,Bahrain,0.42984054385486214
14,Bangladesh,18.00682425297418
15,Barbados,0.053617158374285635
16,Belarus,5.797826067517033
17,Belgium,80.34297786476257
18,Belize,0.005298650411845351
19,Benin,0.19491816124392217
20,Bhutan,0.
21,Bolivia,9.784949130652114
22,Bosnia and Herzegovina,1.8998782857678627
23,Botswana,0.01817602453952761
24,Brazil,870.863202397885
25,Brunei,0.001239367382137882
26,Bulgaria,2.360695241871505
27,Burkina Faso,0.5107689637754275
28,Burma,0.08748386622392407
29,Burundi,0.04930299351647543
30,Cabo Verde,0.08797433910642907
31,Cambodia,0.
32,Cameroon,5.406790700775176
33,Canada,114.61489325661285
34,Central African Republic,0.04899199418048915
35,Chad,2.4196835756453274
36,Chile,27.065517485396352
37,China,0.8137155175169751
38,Colombia,23.754254439136535
39,Comoros,0.04372548055655843
40,Congo (Brazzaville),0.46589034301198534
41,Congo (Kinshasa),2.3701411186743964
42,Costa Rica,0.12021743429683823
43,Cote d'Ivoire,0.7102012173986275
44,Croatia,0.5046748435716288
45,Cuba,0.9397867111546307
46,Cyprus,0.0960764094924217
47,Czechia,2.663726399788136
48,Denmark,5.521098576595086
49,Diamond Princess,0.0005955446120060061
50,Djibouti,0.3562365660222078
51,Dominica,0.
52,Dominican Republic,11.498787721427663
53,Ecuador,54.70165384440217
54,Egypt,25.195538026025847
55,El Salvador,1.2871501315190634
56,Equatorial Guinea,0.453497483822531
57,Eritrea,0.
58,Estonia,0.3574550313447711
59,Eswatini,0.055682897758518285
60,Ethiopia,0.18535979436187114
61,Fiji,0.
62,Finland,3.7311341106505123
63,France,154.06999118958507
64,Gabon,0.501672873156221
65,Gambia,0.0197146486070355
66,Georgia,0.16803830121112096
67,Germany,51.24537920243435
68,Ghana,0.9487160451395422
69,Greece,1.0715343627425253
70,Grenada,0.
71,Guatemala,2.412727939587687
72,Guinea,0.5603792007246409
73,Guinea-Bissau,0.21336698390419725
74,Guyana,0.177964852502887
75,Haiti,1.3942011454608034
76,Holy See,0.
77,Honduras,6.161059406628125
78,Hungary,6.513758309091895
79,Iceland,0.014762951675844896
80,India,144.03291439532975
81,Indonesia,37.282425724832706
82,Iran,116.53447843404071
83,Iraq,3.956716625328427
84,Ireland,15.508450306089198
85,Israel,1.261458862026555
86,Italy,197.11003351062192
87,Jamaica,0.12938832992456262
88,Japan,6.98737029608112
89,Jordan,0.17140965831467395
90,Kazakhstan,1.0774765707570346
91,Kenya,1.7461963466374884
92,"Korea, South",0.5900273653787367
93,Kosovo,0.3950609631975523
94,Kuwait,6.214649157691949
95,Kyrgyzstan,0.34045594432784543
96,Laos,0.
97,Latvia,0.22134250387546803
98,Lebanon,0.4931553124665363
99,Lesotho,0.
100,Liberia,0.5394578072714035
101,Libya,0.038525935501483755
102,Liechtenstein,0.0011606591302620517
103,Lithuania,0.543010799221717
104,Luxembourg,0.4349985855143597
105,Madagascar,0.08233104931538021
106,Malawi,0.08458828616096076
107,Malaysia,0.9826876245100056
108,Maldives,0.13238349872368455
109,Mali,1.6494523288596767
110,Malta,0.08713305117577347
111,Mauritania,0.26647983060776614
112,Mauritius,0.01924775754573239
113,Mexico,255.18516679201713
114,Moldova,5.861063067424707
115,Monaco,0.011188663309868518
116,Mongolia,0.
117,Montenegro,0.02172330513058799
118,Morocco,3.765296680888319
119,Mozambique,0.
120,MS Zaandam,0.002012305638598678
121,Namibia,0.
122,Nepal,0.14632854603704085
123,Netherlands,44.24054717139408
124,New Zealand,0.05289337403273827
125,Nicaragua,0.6197982138787632
126,Niger,0.7549052314818034
127,Nigeria,7.817206995773665
128,North Macedonia,1.6303054933859211
129,Norway,1.0543054196340396
130,Oman,1.3393480334469938
131,Pakistan,37.36210787733382
132,Panama,5.6385812105514255
133,Papua New Guinea,0.
134,Paraguay,0.27980658416436144
135,Peru,114.82747675094281
136,Philippines,16.493792546477373
137,Poland,20.14990594754185
138,Portugal,13.896546887602023
139,Qatar,0.7425097890007049
140,Romania,18.2280418440003
141,Russia,107.97379867755657
142,Rwanda,0.
143,Saint Kitts and Nevis,0.
144,Saint Lucia,0.
145,Saint Vincent and the Grenadines,0.
146,San Marino,0.3322478952487828
147,Sao Tome and Principe,0.42408800084330617
148,Saudi Arabia,13.241807481038485
149,Senegal,1.1189314885111257
150,Serbia,2.824447299410017
151,Seychelles,0.
152,Sierra Leone,1.5149654893928488
153,Singapore,0.5452650449933026
154,Slovakia,0.17313434451742094
155,Slovenia,0.29872791931499265
156,Somalia,1.8644779805804366
157,South Africa,15.59211445749773
158,South Sudan,0.4370283234282587
159,Spain,159.52565366202373
160,Sri Lanka,0.1897751095393101
161,Sudan,6.585134643238262
162,Suriname,0.0066509182293986915
163,Sweden,75.6109888972273
164,Switzerland,6.071149988332664
165,Syria,0.07839228185415564
166,Taiwan*,0.013474531044983513
167,Tajikistan,1.724711853190408
168,Tanzania,0.21962046204960314
169,Thailand,0.162631844028316
170,Timor-Leste,0.
171,Togo,0.4414214838800246
172,Trinidad and Tobago,0.010179901457194536
173,Tunisia,0.22052547692007723
174,Turkey,55.53242222055004
175,Uganda,0.
176,Ukraine,14.66724464901852
